year,team,team_code,shirt_number,player,position,position_group,rating,is_legend
1970,Belgium,bel,12,Trappeniers,Goalkeeper,Goalkeepers,70,false
1970,Belgium,bel,22,Duquesne,Goalkeeper,Goalkeepers,66,false
1970,Belgium,bel,2,Heylens,Right-back,Defence,74,false
1970,Belgium,bel,4,Dewalque,Centre-back,Defence,73,false
1970,Belgium,bel,5,Jeck,Left-back,Defence,72,false
1970,Belgium,bel,3,Thissen,Centre-back,Defence,72,false
1970,Belgium,bel,13,Beurlet,Centre-back,Defence,70,false
1970,Belgium,bel,8,Van Moer,Midfielder,Midfield,78,true
1970,Belgium,bel,7,Semmeling,Defensive midfielder,Midfield,76,false
1970,Belgium,bel,6,Dockx,Right midfielder,Midfield,74,false
1970,Belgium,bel,16,Polleunis,Attacking midfielder,Midfield,74,false
1970,Belgium,bel,17,Verheyen,Defensive midfielder,Midfield,71,false
1970,Belgium,bel,20,Peeters,Defensive midfielder,Midfield,71,false
1970,Belgium,bel,15,Vandendaele,Defensive midfielder,Midfield,70,false
1970,Belgium,bel,14,Martens,Left midfielder,Midfield,70,false
1970,Belgium,bel,10,Van Himst,Centre-forward,Attack,85,true
1970,Belgium,bel,9,Devrindt,Right winger,Attack,77,false
1970,Belgium,bel,11,Puis,Left winger,Attack,76,false
1970,Belgium,bel,18,Lambert,Centre-forward,Attack,75,false
1970,Belgium,bel,19,Carteus,Left winger,Attack,69,false
1970,Belgium,bel,21,Janssens,Right winger,Attack,69,false
1970,Mexico,mex,1,Calderón,Goalkeeper,Goalkeepers,76,false
1970,Mexico,mex,12,Mota,Goalkeeper,Goalkeepers,70,false
1970,Mexico,mex,22,Castrejón,Goalkeeper,Goalkeepers,68,false
1970,Mexico,mex,3,Peña,Centre-back,Defence,77,true
1970,Mexico,mex,6,Hernández,Centre-back,Defence,74,false
1970,Mexico,mex,5,M. Pérez,Left-back,Defence,73,false
1970,Mexico,mex,13,Vantolrá,Right-back,Defence,73,false
1970,Mexico,mex,2,Alejándrez,Right-back,Defence,72,false
1970,Mexico,mex,4,Montes,Centre-back,Defence,72,false
1970,Mexico,mex,14,Guzmán,Centre-back,Defence,71,false
1970,Mexico,mex,18,Velarde,Midfielder,Midfield,75,false
1970,Mexico,mex,8,Munguía,Midfielder,Midfield,74,false
1970,Mexico,mex,20,Basaguren,Midfielder,Midfield,73,false
1970,Mexico,mex,7,Rivas,Defensive midfielder,Midfield,72,false
1970,Mexico,mex,15,Pulido,Midfielder,Midfield,72,false
1970,Mexico,mex,17,González,Midfielder,Midfield,72,false
1970,Mexico,mex,9,Borja,Centre-forward,Attack,80,true
1970,Mexico,mex,10,Salgado,Left winger,Attack,75,false
1970,Mexico,mex,11,Padilla,Right winger,Attack,74,false
1970,Mexico,mex,21,Fragoso,Left winger,Attack,74,false
1970,Mexico,mex,16,Díaz,Left winger,Attack,71,false
1970,Mexico,mex,19,Valdivia,Centre-forward,Attack,71,false
1970,Uruguay,uru,1,Mazurkiewicz,Goalkeeper,Goalkeepers,86,true
1970,Uruguay,uru,12,Santos,Goalkeeper,Goalkeepers,66,false
1970,Uruguay,uru,22,Corbo,Goalkeeper,Goalkeepers,64,false
1970,Uruguay,uru,2,Ancheta,Centre-back,Defence,78,false
1970,Uruguay,uru,4,Ubiña,Centre-back,Defence,77,false
1970,Uruguay,uru,3,Matosas,Centre-back,Defence,76,false
1970,Uruguay,uru,6,Mujica,Left-back,Defence,76,false
1970,Uruguay,uru,16,Caetano,Right-back,Defence,75,false
1970,Uruguay,uru,13,Sandoval,Centre-back,Defence,66,false
1970,Uruguay,uru,14,Cámera,Centre-back,Defence,66,false
1970,Uruguay,uru,8,Rocha,Attacking midfielder,Midfield,85,false
1970,Uruguay,uru,5,Montero Castillo,Defensive midfielder,Midfield,78,false
1970,Uruguay,uru,9,Espárrago,Attacking midfielder,Midfield,76,false
1970,Uruguay,uru,10,Maneiro,Midfielder,Midfield,74,false
1970,Uruguay,uru,20,Cortés,Defensive midfielder,Midfield,74,false
1970,Uruguay,uru,15,Fontes,Defensive midfielder,Midfield,68,false
1970,Uruguay,uru,7,Cubilla,Right winger,Attack,82,false
1970,Uruguay,uru,11,Morales,Left winger,Attack,76,false
1970,Uruguay,uru,17,Bareño,Centre-forward,Attack,69,false
1970,Uruguay,uru,19,Zubia,Centre-forward,Attack,69,false
1970,Uruguay,uru,18,Gómez,Centre-forward,Attack,67,false
1970,Uruguay,uru,21,Losada,Centre-forward,Attack,66,false
1974,Germany,ger,1,Maier,Goalkeeper,Goalkeepers,91,true
1974,Germany,ger,21,Nigbur,Goalkeeper,Goalkeepers,71,false
1974,Germany,ger,22,Kleff,Goalkeeper,Goalkeepers,70,false
1974,Germany,ger,5,Beckenbauer,Centre-back,Defence,97,true
1974,Germany,ger,3,Breitner,Left-back,Defence,88,false
1974,Germany,ger,2,Vogts,Right-back,Defence,86,false
1974,Germany,ger,4,Schwarzenbeck,Centre-back,Defence,82,false
1974,Germany,ger,6,Höttges,Right-back,Defence,76,false
1974,Germany,ger,20,Kremers,Left-back,Defence,72,false
1974,Germany,ger,12,Overath,Attacking midfielder,Midfield,83,false
1974,Germany,ger,16,Bonhof,Defensive midfielder,Midfield,83,false
1974,Germany,ger,10,Netzer,Midfielder,Midfield,80,false
1974,Germany,ger,7,Wimmer,Defensive midfielder,Midfield,78,false
1974,Germany,ger,8,Cullmann,Midfielder,Midfield,76,false
1974,Germany,ger,15,Flohe,Defensive midfielder,Midfield,76,false
1974,Germany,ger,19,Kapellmann,Defensive midfielder,Midfield,73,false
1974,Germany,ger,13,Müller,Centre-forward,Attack,96,true
1974,Germany,ger,14,Hoeneß,Right winger,Attack,83,false
1974,Germany,ger,9,Grabowski,Right winger,Attack,82,false
1974,Germany,ger,11,Heynckes,Centre-forward,Attack,80,false
1974,Germany,ger,17,Hölzenbein,Left winger,Attack,80,false
1974,Germany,ger,18,Herzog,Left winger,Attack,72,false
1974,Brazil,bra,1,Leão,Goalkeeper,Goalkeepers,84,false
1974,Brazil,bra,22,Waldir Peres,Goalkeeper,Goalkeepers,74,false
1974,Brazil,bra,12,Renato,Goalkeeper,Goalkeepers,68,false
1974,Brazil,bra,2,Luís Pereira,Centre-back,Defence,87,false
1974,Brazil,bra,6,Marinho Chagas,Left-back,Defence,86,false
1974,Brazil,bra,4,Zé Maria,Right-back,Defence,80,false
1974,Brazil,bra,3,Marinho Peres,Centre-back,Defence,79,false
1974,Brazil,bra,14,Nelinho,Right-back,Defence,78,false
1974,Brazil,bra,16,Marco Antônio,Left-back,Defence,75,false
1974,Brazil,bra,15,Mostarda,Centre-back,Defence,72,false
1974,Brazil,bra,10,Rivelino,Attacking midfielder,Midfield,92,true
1974,Brazil,bra,18,Ademir da Guia,Midfielder,Midfield,85,false
1974,Brazil,bra,5,Piazza,Defensive midfielder,Midfield,82,false
1974,Brazil,bra,11,Paulo César Caju,Left midfielder,Midfield,82,false
1974,Brazil,bra,21,Dirceu,Attacking midfielder,Midfield,80,false
1974,Brazil,bra,8,Leivinha,Attacking midfielder,Midfield,78,false
1974,Brazil,bra,17,Carpegiani,Midfielder,Midfield,76,false
1974,Brazil,bra,7,Jairzinho,Right winger,Attack,88,true
1974,Brazil,bra,20,Edu,Left winger,Attack,80,false
1974,Brazil,bra,9,César Maluco,Centre-forward,Attack,76,false
1974,Brazil,bra,13,Valdomiro,Right winger,Attack,75,false
1974,Brazil,bra,19,Mirandinha,Centre-forward,Attack,73,false
1974,Italy,ita,1,Zoff,Goalkeeper,Goalkeepers,95,true
1974,Italy,ita,12,Albertosi,Goalkeeper,Goalkeepers,76,false
1974,Italy,ita,22,Castellini,Goalkeeper,Goalkeepers,72,false
1974,Italy,ita,3,Facchetti,Left-back,Defence,90,true
1974,Italy,ita,6,Burgnich,Centre-back,Defence,82,false
1974,Italy,ita,5,Morini,Centre-back,Defence,77,false
1974,Italy,ita,15,Wilson,Centre-back,Defence,76,false
1974,Italy,ita,2,Spinosi,Right-back,Defence,74,false
1974,Italy,ita,14,Bellugi,Centre-back,Defence,72,false
1974,Italy,ita,13,Sabadini,Centre-back,Defence,70,false
1974,Italy,ita,10,Rivera,Midfielder,Midfield,90,true
1974,Italy,ita,7,Mazzola,Midfielder,Midfield,88,false
1974,Italy,ita,8,Capello,Defensive midfielder,Midfield,82,false
1974,Italy,ita,4,Benetti,Defensive midfielder,Midfield,80,false
1974,Italy,ita,16,Juliano,Defensive midfielder,Midfield,76,false
1974,Italy,ita,17,Re Cecconi,Midfielder,Midfield,74,false
1974,Italy,ita,11,Riva,Centre-forward,Attack,92,true
1974,Italy,ita,18,Causio,Right winger,Attack,83,false
1974,Italy,ita,20,Boninsegna,Centre-forward,Attack,82,false
1974,Italy,ita,19,Anastasi,Centre-forward,Attack,81,false
1974,Italy,ita,9,Chinaglia,Centre-forward,Attack,80,false
1974,Italy,ita,21,Pulici,Centre-forward,Attack,76,false
1974,Netherlands,ned,8,Jongbloed,Goalkeeper,Goalkeepers,76,false
1974,Netherlands,ned,18,Schrijvers,Goalkeeper,Goalkeepers,73,false
1974,Netherlands,ned,21,Treijtel,Goalkeeper,Goalkeepers,68,false
1974,Netherlands,ned,12,Krol,Left-back,Defence,85,false
1974,Netherlands,ned,20,Suurbier,Right-back,Defence,81,false
1974,Netherlands,ned,17,Rijsbergen,Centre-back,Defence,79,false
1974,Netherlands,ned,5,Israël,Centre-back,Defence,79,false
1974,Netherlands,ned,4,Van Ierssel,Centre-back,Defence,71,false
1974,Netherlands,ned,19,Strik,Centre-back,Defence,70,false
1974,Netherlands,ned,22,Vos,Centre-back,Defence,69,false
1974,Netherlands,ned,13,Neeskens,Defensive midfielder,Midfield,91,true
1974,Netherlands,ned,3,Van Hanegem,Attacking midfielder,Midfield,88,false
1974,Netherlands,ned,2,Haan,Defensive midfielder,Midfield,83,false
1974,Netherlands,ned,6,Jansen,Right midfielder,Midfield,80,false
1974,Netherlands,ned,10,R. Van de Kerkhof,Defensive midfielder,Midfield,78,false
1974,Netherlands,ned,11,W. Van de Kerkhof,Right midfielder,Midfield,76,false
1974,Netherlands,ned,7,De Jong,Defensive midfielder,Midfield,75,false
1974,Netherlands,ned,14,Cruyff,Centre-forward,Attack,97,true
1974,Netherlands,ned,15,Rensenbrink,Left winger,Attack,86,false
1974,Netherlands,ned,16,Rep,Right winger,Attack,82,false
1974,Netherlands,ned,9,Keizer,Left winger,Attack,76,false
1974,Netherlands,ned,1,Geels,Centre-forward,Attack,74,false
1974,Argentina,arg,12,Fillol,Goalkeeper,Goalkeepers,83,false
1974,Argentina,arg,1,Carnevali,Goalkeeper,Goalkeepers,76,false
1974,Argentina,arg,21,Santoro,Goalkeeper,Goalkeepers,72,false
1974,Argentina,arg,14,Perfumo,Centre-back,Defence,81,false
1974,Argentina,arg,7,Carrascosa,Left-back,Defence,78,false
1974,Argentina,arg,10,Heredia,Centre-back,Defence,78,false
1974,Argentina,arg,20,Wolff,Right-back,Defence,78,false
1974,Argentina,arg,16,Sá,Centre-back,Defence,77,false
1974,Argentina,arg,5,Bargas,Centre-back,Defence,75,false
1974,Argentina,arg,9,Glaria,Centre-back,Defence,73,false
1974,Argentina,arg,3,Babington,Defensive midfielder,Midfield,84,false
1974,Argentina,arg,6,Brindisi,Attacking midfielder,Midfield,83,false
1974,Argentina,arg,8,Chazarreta,Defensive midfielder,Midfield,74,false
1974,Argentina,arg,18,Telch,Midfielder,Midfield,74,false
1974,Argentina,arg,17,Squeo,Defensive midfielder,Midfield,72,false
1974,Argentina,arg,19,Togneri,Defensive midfielder,Midfield,71,false
1974,Argentina,arg,13,Kempes,Centre-forward,Attack,83,false
1974,Argentina,arg,11,Houseman,Right winger,Attack,82,false
1974,Argentina,arg,22,Yazalde,Centre-forward,Attack,81,false
1974,Argentina,arg,2,Ayala,Right winger,Attack,80,false
1974,Argentina,arg,4,Balbuena,Right winger,Attack,78,false
1974,Argentina,arg,15,Poy,Centre-forward,Attack,74,false
1974,Scotland,sco,1,Harvey,Goalkeeper,Goalkeepers,78,false
1974,Scotland,sco,12,Allan,Goalkeeper,Goalkeepers,72,false
1974,Scotland,sco,13,Stewart,Goalkeeper,Goalkeepers,68,false
1974,Scotland,sco,3,McGrain,Right-back,Defence,82,false
1974,Scotland,sco,2,Jardine,Right-back,Defence,80,false
1974,Scotland,sco,14,Buchan,Centre-back,Defence,79,false
1974,Scotland,sco,5,Holton,Centre-back,Defence,76,false
1974,Scotland,sco,21,McQueen,Centre-back,Defence,76,false
1974,Scotland,sco,16,Donachie,Left-back,Defence,75,false
1974,Scotland,sco,6,Blackley,Centre-back,Defence,74,false
1974,Scotland,sco,22,Schaedler,Left-back,Defence,72,false
1974,Scotland,sco,4,Bremner,Midfielder,Midfield,88,true
1974,Scotland,sco,7,Johnstone,Left midfielder,Midfield,85,true
1974,Scotland,sco,10,Hay,Defensive midfielder,Midfield,80,false
1974,Scotland,sco,15,Cormack,Midfielder,Midfield,75,false
1974,Scotland,sco,8,Dalglish,Centre-forward,Attack,87,false
1974,Scotland,sco,19,Law,Centre-forward,Attack,86,false
1974,Scotland,sco,11,Lorimer,Centre-forward,Attack,84,false
1974,Scotland,sco,9,Jordan,Centre-forward,Attack,81,false
1974,Scotland,sco,20,Morgan,Right winger,Attack,77,false
1974,Scotland,sco,18,Hutchison,Left winger,Attack,76,false
1974,Scotland,sco,17,Ford,Centre-forward,Attack,73,false
1974,Chile,chi,1,Vallejos,Goalkeeper,Goalkeepers,76,false
1974,Chile,chi,21,Olivares,Goalkeeper,Goalkeepers,70,false
1974,Chile,chi,22,Nef,Goalkeeper,Goalkeepers,68,false
1974,Chile,chi,5,Figueroa,Centre-back,Defence,93,true
1974,Chile,chi,3,Quintano,Centre-back,Defence,77,false
1974,Chile,chi,4,Arias,Left-back,Defence,74,false
1974,Chile,chi,2,García,Right-back,Defence,73,false
1974,Chile,chi,13,González,Centre-back,Defence,73,false
1974,Chile,chi,12,Machuca,Right-back,Defence,72,false
1974,Chile,chi,15,Galindo,Centre-back,Defence,72,false
1974,Chile,chi,10,Reinoso,Midfielder,Midfield,89,true
1974,Chile,chi,8,Valdés,Attacking midfielder,Midfield,82,false
1974,Chile,chi,17,Yávar,Attacking midfielder,Midfield,77,false
1974,Chile,chi,16,Páez,Midfielder,Midfield,76,false
1974,Chile,chi,14,Lara,Midfielder,Midfield,75,false
1974,Chile,chi,6,Rodríguez,Defensive midfielder,Midfield,74,false
1974,Chile,chi,18,Socías,Attacking midfielder,Midfield,74,false
1974,Chile,chi,19,Farías,Defensive midfielder,Midfield,73,false
1974,Chile,chi,7,Caszely,Left winger,Attack,88,true
1974,Chile,chi,11,Véliz,Left winger,Attack,78,false
1974,Chile,chi,20,Castro,Right winger,Attack,76,false
1974,Chile,chi,9,Ahumada,Left winger,Attack,75,false
1974,Poland,pol,2,Tomaszewski,Goalkeeper,Goalkeepers,84,false
1974,Poland,pol,1,Fischer,Goalkeeper,Goalkeepers,68,false
1974,Poland,pol,3,Kalinowski,Goalkeeper,Goalkeepers,67,false
1974,Poland,pol,9,Żmuda,Centre-back,Defence,83,false
1974,Poland,pol,6,Gorgoń,Centre-back,Defence,82,false
1974,Poland,pol,4,Szymanowski,Right-back,Defence,80,false
1974,Poland,pol,10,Musiał,Left-back,Defence,78,false
1974,Poland,pol,8,Bulzacki,Centre-back,Defence,72,false
1974,Poland,pol,5,Gut,Centre-back,Defence,70,false
1974,Poland,pol,12,Deyna,Defensive midfielder,Midfield,88,true
1974,Poland,pol,13,Kasperczak,Defensive midfielder,Midfield,79,false
1974,Poland,pol,14,Maszczyk,Defensive midfielder,Midfield,77,false
1974,Poland,pol,7,Wieczorek,Midfielder,Midfield,73,false
1974,Poland,pol,11,Ćmikiewicz,Defensive midfielder,Midfield,73,false
1974,Poland,pol,20,Kapka,Left midfielder,Midfield,69,false
1974,Poland,pol,16,Lato,Right winger,Attack,90,true
1974,Poland,pol,17,Szarmach,Centre-forward,Attack,83,false
1974,Poland,pol,18,Gadocha,Left winger,Attack,82,false
1974,Poland,pol,19,Domarski,Centre-forward,Attack,74,false
1974,Poland,pol,21,Kmiecik,Centre-forward,Attack,71,false
1974,Poland,pol,22,Kusto,Centre-forward,Attack,70,false
1974,Poland,pol,15,Jakóbczak,Centre-forward,Attack,69,false
1974,Sweden,swe,1,Hellström,Goalkeeper,Goalkeepers,86,false
1974,Sweden,swe,12,SG. Larsson,Goalkeeper,Goalkeepers,72,false
1974,Sweden,swe,17,Hagberg,Goalkeeper,Goalkeepers,66,false
1974,Sweden,swe,4,Nordqvist,Centre-back,Defence,85,true
1974,Sweden,swe,2,J. Olsson,Right-back,Defence,75,false
1974,Sweden,swe,13,Grip,Right-back,Defence,74,false
1974,Sweden,swe,5,B. Andersson,Centre-back,Defence,73,false
1974,Sweden,swe,3,K. Karlsson,Centre-back,Defence,72,false
1974,Sweden,swe,18,Augustsson,Centre-back,Defence,69,false
1974,Sweden,swe,7,Bo Larsson,Left midfielder,Midfield,84,true
1974,Sweden,swe,8,Torstensson,Defensive midfielder,Midfield,80,false
1974,Sweden,swe,6,Grahn,Defensive midfielder,Midfield,77,false
1974,Sweden,swe,21,Persson,Attacking midfielder,Midfield,76,false
1974,Sweden,swe,16,Ejderstedt,Defensive midfielder,Midfield,74,false
1974,Sweden,swe,14,Tapper,Defensive midfielder,Midfield,73,false
1974,Sweden,swe,20,Lindman,Defensive midfielder,Midfield,72,false
1974,Sweden,swe,19,Cronqvist,Left midfielder,Midfield,71,false
1974,Sweden,swe,15,Magnusson,Left midfielder,Midfield,70,false
1974,Sweden,swe,22,Ahlström,Defensive midfielder,Midfield,68,false
1974,Sweden,swe,9,Kindvall,Centre-forward,Attack,83,false
1974,Sweden,swe,10,R. Edström,Centre-forward,Attack,82,false
1974,Sweden,swe,11,Sandberg,Right winger,Attack,81,false
1974,Uruguay,uru,1,Mazurkiewicz,Goalkeeper,Goalkeepers,88,true
1974,Uruguay,uru,12,H. Santos,Goalkeeper,Goalkeepers,71,false
1974,Uruguay,uru,22,G. Fernández,Goalkeeper,Goalkeepers,68,false
1974,Uruguay,uru,5,Montero,Centre-back,Defence,78,false
1974,Uruguay,uru,3,Masnik,Centre-back,Defence,77,false
1974,Uruguay,uru,4,Forlán,Centre-back,Defence,76,false
1974,Uruguay,uru,6,Pavoni,Centre-back,Defence,73,false
1974,Uruguay,uru,15,M. González,Centre-back,Defence,73,false
1974,Uruguay,uru,2,Jáuregui,Right-back,Defence,72,false
1974,Uruguay,uru,13,De Simone,Centre-back,Defence,72,false
1974,Uruguay,uru,14,Garisto,Centre-back,Defence,71,false
1974,Uruguay,uru,10,P. Rocha,Attacking midfielder,Midfield,83,false
1974,Uruguay,uru,8,Espárrago,Attacking midfielder,Midfield,79,false
1974,Uruguay,uru,16,Cardaccio,Defensive midfielder,Midfield,73,false
1974,Uruguay,uru,17,Jiménez,Defensive midfielder,Midfield,72,false
1974,Uruguay,uru,18,Mantegazza,Attacking midfielder,Midfield,72,false
1974,Uruguay,uru,7,Cubilla,Right winger,Attack,84,true
1974,Uruguay,uru,9,Morena,Centre-forward,Attack,81,false
1974,Uruguay,uru,11,Corbo,Centre-forward,Attack,74,false
1974,Uruguay,uru,20,J. Silva,Centre-forward,Attack,72,false
1974,Uruguay,uru,19,Milar,Centre-forward,Attack,71,false
1974,Uruguay,uru,21,J. Gómez,Centre-forward,Attack,70,false
1978,Argentina,arg,5,Fillol,Goalkeeper,Goalkeepers,88,false
1978,Argentina,arg,3,Baley,Goalkeeper,Goalkeepers,70,false
1978,Argentina,arg,13,La Volpe,Goalkeeper,Goalkeepers,69,false
1978,Argentina,arg,19,Passarella,Centre-back,Defence,91,false
1978,Argentina,arg,20,Tarantini,Left-back,Defence,81,false
1978,Argentina,arg,7,L. Galván,Centre-back,Defence,80,false
1978,Argentina,arg,15,Olguín,Right-back,Defence,79,false
1978,Argentina,arg,17,Oviedo,Left-back,Defence,72,false
1978,Argentina,arg,11,Killer,Centre-back,Defence,71,false
1978,Argentina,arg,18,Pagnanini,Right-back,Defence,71,false
1978,Argentina,arg,2,Ardiles,Defensive midfielder,Midfield,86,false
1978,Argentina,arg,6,Gallego,Defensive midfielder,Midfield,81,false
1978,Argentina,arg,21,Valencia,Defensive midfielder,Midfield,78,false
1978,Argentina,arg,1,Alonso,Attacking midfielder,Midfield,77,false
1978,Argentina,arg,22,Villa,Defensive midfielder,Midfield,76,false
1978,Argentina,arg,8,R. Galván,Defensive midfielder,Midfield,74,false
1978,Argentina,arg,12,Larrosa,Midfielder,Midfield,74,false
1978,Argentina,arg,10,Kempes,Centre-forward,Attack,96,true
1978,Argentina,arg,14,Luque,Centre-forward,Attack,84,false
1978,Argentina,arg,4,Bertoni,Right winger,Attack,81,false
1978,Argentina,arg,9,Houseman,Right winger,Attack,80,false
1978,Argentina,arg,16,Ortiz,Left winger,Attack,77,false
1978,Brazil,bra,1,Leão,Goalkeeper,Goalkeepers,85,false
1978,Brazil,bra,22,Waldir Peres,Goalkeeper,Goalkeepers,74,false
1978,Brazil,bra,12,Gallo,Goalkeeper,Goalkeepers,70,false
1978,Brazil,bra,3,Oscar,Centre-back,Defence,82,false
1978,Brazil,bra,13,Nelinho,Right-back,Defence,81,false
1978,Brazil,bra,6,Edinho,Centre-back,Defence,79,false
1978,Brazil,bra,4,Amaral,Centre-back,Defence,78,false
1978,Brazil,bra,2,Toninho,Right-back,Defence,76,false
1978,Brazil,bra,16,Rodrigues Neto,Left-back,Defence,76,false
1978,Brazil,bra,14,Abel,Centre-back,Defence,74,false
1978,Brazil,bra,15,Polozzi,Centre-back,Defence,71,false
1978,Brazil,bra,8,Zico,Attacking midfielder,Midfield,89,true
1978,Brazil,bra,10,Rivelino,Attacking midfielder,Midfield,86,true
1978,Brazil,bra,11,Dirceu,Attacking midfielder,Midfield,84,false
1978,Brazil,bra,5,Cerezo,Defensive midfielder,Midfield,83,false
1978,Brazil,bra,17,Batista,Defensive midfielder,Midfield,77,false
1978,Brazil,bra,19,Mendonça,Attacking midfielder,Midfield,74,false
1978,Brazil,bra,21,Chicão,Midfielder,Midfield,72,false
1978,Brazil,bra,20,Roberto Dinamite,Centre-forward,Attack,88,false
1978,Brazil,bra,9,Reinaldo,Centre-forward,Attack,87,false
1978,Brazil,bra,7,Zé Sérgio,Left winger,Attack,76,false
1978,Brazil,bra,18,Gil,Right winger,Attack,75,false
1978,Italy,ita,1,Zoff,Goalkeeper,Goalkeepers,86,true
1978,Italy,ita,22,Bordon,Goalkeeper,Goalkeepers,71,false
1978,Italy,ita,12,Conti,Goalkeeper,Goalkeepers,70,false
1978,Italy,ita,8,Scirea,Centre-back,Defence,85,true
1978,Italy,ita,5,Gentile,Right-back,Defence,82,false
1978,Italy,ita,3,Cabrini,Left-back,Defence,80,false
1978,Italy,ita,2,Bellugi,Centre-back,Defence,78,false
1978,Italy,ita,4,Cuccureddu,Right-back,Defence,76,false
1978,Italy,ita,6,Maldera,Left-back,Defence,76,false
1978,Italy,ita,7,Manfredonia,Centre-back,Defence,73,false
1978,Italy,ita,9,Antognoni,Defensive midfielder,Midfield,84,false
1978,Italy,ita,14,Tardelli,Defensive midfielder,Midfield,83,false
1978,Italy,ita,10,Benetti,Defensive midfielder,Midfield,80,false
1978,Italy,ita,11,Pecci,Midfielder,Midfield,75,false
1978,Italy,ita,15,Zaccarelli,Midfielder,Midfield,75,false
1978,Italy,ita,13,P. Sala,Right midfielder,Midfield,74,false
1978,Italy,ita,18,Bettega,Centre-forward,Attack,85,false
1978,Italy,ita,16,Causio,Right winger,Attack,82,false
1978,Italy,ita,21,Rossi,Centre-forward,Attack,82,true
1978,Italy,ita,19,Graziani,Centre-forward,Attack,80,false
1978,Italy,ita,17,C. Sala,Left winger,Attack,78,false
1978,Italy,ita,20,Pulici,Centre-forward,Attack,78,false
1978,Spain,esp,1,Arconada,Goalkeeper,Goalkeepers,84,true
1978,Spain,esp,13,Miguel Ángel,Goalkeeper,Goalkeepers,78,false
1978,Spain,esp,22,Urruti,Goalkeeper,Goalkeepers,72,false
1978,Spain,esp,18,Pirri,Centre-back,Defence,82,false
1978,Spain,esp,5,Migueli,Centre-back,Defence,77,false
1978,Spain,esp,16,Olmo,Right-back,Defence,74,false
1978,Spain,esp,2,De la Cruz,Right-back,Defence,73,false
1978,Spain,esp,3,Uría,Centre-back,Defence,73,false
1978,Spain,esp,17,Marcelino,Centre-back,Defence,73,false
1978,Spain,esp,6,Biosca,Centre-back,Defence,72,false
1978,Spain,esp,4,Asensi,Midfielder,Midfield,80,false
1978,Spain,esp,11,Cardeñosa,Midfielder,Midfield,79,false
1978,Spain,esp,21,San José,Defensive midfielder,Midfield,74,false
1978,Spain,esp,14,Leal,Left midfielder,Midfield,73,false
1978,Spain,esp,12,Guzmán,Defensive midfielder,Midfield,72,false
1978,Spain,esp,9,Quini,Centre-forward,Attack,84,true
1978,Spain,esp,10,Santillana,Centre-forward,Attack,83,false
1978,Spain,esp,8,Juanito,Right winger,Attack,79,false
1978,Spain,esp,19,Rexach,Left winger,Attack,79,false
1978,Spain,esp,7,Dani,Left winger,Attack,77,false
1978,Spain,esp,20,R. Cano,Centre-forward,Attack,76,false
1978,Spain,esp,15,Marañón,Centre-forward,Attack,75,false
1978,Netherlands,ned,1,Schrijvers,Goalkeeper,Goalkeepers,74,false
1978,Netherlands,ned,8,Jongbloed,Goalkeeper,Goalkeepers,74,false
1978,Netherlands,ned,19,Doesburg,Goalkeeper,Goalkeepers,68,false
1978,Netherlands,ned,5,Krol,Left-back,Defence,87,false
1978,Netherlands,ned,22,Brandts,Centre-back,Defence,80,false
1978,Netherlands,ned,17,Rijsbergen,Centre-back,Defence,78,false
1978,Netherlands,ned,2,Poortvliet,Right-back,Defence,77,false
1978,Netherlands,ned,20,Suurbier,Right-back,Defence,76,false
1978,Netherlands,ned,15,Hovenkamp,Centre-back,Defence,74,false
1978,Netherlands,ned,4,Van Kraay,Right-back,Defence,72,false
1978,Netherlands,ned,13,Neeskens,Defensive midfielder,Midfield,86,true
1978,Netherlands,ned,9,Haan,Defensive midfielder,Midfield,84,false
1978,Netherlands,ned,10,R. Van de Kerkhof,Defensive midfielder,Midfield,81,false
1978,Netherlands,ned,6,Jansen,Right midfielder,Midfield,79,false
1978,Netherlands,ned,11,W. Van de Kerkhof,Defensive midfielder,Midfield,78,false
1978,Netherlands,ned,3,Schoenaker,Defensive midfielder,Midfield,73,false
1978,Netherlands,ned,14,Boskamp,Midfielder,Midfield,73,false
1978,Netherlands,ned,7,Wildschut,Left midfielder,Midfield,72,false
1978,Netherlands,ned,12,Rensenbrink,Left winger,Attack,88,false
1978,Netherlands,ned,16,Rep,Right winger,Attack,83,false
1978,Netherlands,ned,18,Nanninga,Centre-forward,Attack,75,false
1978,Netherlands,ned,21,Lubse,Centre-forward,Attack,69,false
1978,Poland,pol,1,Tomaszewski,Goalkeeper,Goalkeepers,85,false
1978,Poland,pol,21,Kukla,Goalkeeper,Goalkeepers,70,false
1978,Poland,pol,22,Kostrzewa,Goalkeeper,Goalkeepers,67,false
1978,Poland,pol,9,Żmuda,Centre-back,Defence,86,false
1978,Poland,pol,6,Gorgoń,Centre-back,Defence,80,false
1978,Poland,pol,4,Szymanowski,Right-back,Defence,79,false
1978,Poland,pol,3,Maculewicz,Left-back,Defence,75,false
1978,Poland,pol,10,Rudy,Right-back,Defence,73,false
1978,Poland,pol,14,Justek,Centre-back,Defence,72,false
1978,Poland,pol,13,Kupcewicz,Right-back,Defence,71,false
1978,Poland,pol,20,Wójcicki,Right-back,Defence,68,false
1978,Poland,pol,12,Deyna,Midfielder,Midfield,89,true
1978,Poland,pol,8,Kasperczak,Defensive midfielder,Midfield,80,false
