year;team;name;position;rating;rating_ext;diff;is_collectible;is_legend
2010;KOR;Yeom Ki-hun;LW;72;76;4;false;false
2014;ALG;Carl Medjani;CB;72;76;4;false;false
2014;CIV;Boubacar Barry;GK;72;76;4;false;false
2014;GHA;Harrison Afful;RB;72;76;4;false;false
2014;NED;Joël Veltman;CB;72;76;4;false;false
2018;CRO;Dominik Livaković;GK;72;76;4;false;false
2018;EGY;Ahmed Fathy;RB;72;76;4;false;false
2018;MAR;Sofyan Amrabat;DM;72;76;4;false;false
2018;RUS;Daler Kuzyayev;CM;72;76;4;false;false
2018;RUS;Roman Zobnin;CM;72;76;4;false;false
2022;CRO;Luka Sučić;CM;72;76;4;false;false
2022;SEN;Bamba Dieng;ST;72;76;4;false;false
2006;SUI;Johan Djourou;CB;71;75;4;false;false
2018;SWE;Kristoffer Nordfeldt;GK;71;75;4;false;false
1990;ARG;José Serrizuela;CB;70;74;4;false;false
1990;IRL;Chris Hughton;LB;70;74;4;false;false
1990;IRL;Frank Stapleton;ST;70;74;4;false;false
1990;TCH;Július Bielik;CB;70;74;4;false;false
1990;YUG;Mirsad Baljić;AM;70;74;4;false;false
1994;BUL;Boncho Genchev;CM;70;74;4;false;false
1994;NED;Gaston Taument;RW;70;74;4;false;false
1994;ROU;Ovidiu Stângă;RM;70;74;4;false;false
1994;ROU;Basarab Panduru;CM;70;74;4;false;false
2002;ARG;Claudio Husain;CM;70;74;4;false;false
2002;JPN;Takashi Fukunishi;CM;70;74;4;false;false
2002;KOR;Choi Yong-soo;ST;70;74;4;false;false
2002;MEX;Manuel Vidrio;CB;70;74;4;false;false
2002;POR;Marco Caneira;LB;70;74;4;false;false
2006;CIV;Marco Zoro;CB;70;74;4;false;false
2006;CZE;Jaromír Blažek;GK;70;74;4;false;false
2006;NED;Kew Jaliens;RB;70;74;4;false;false
2014;ALG;Essaïd Belkalem;CB;70;74;4;false;false
2014;BRA;Victor;GK;70;74;4;false;false
2014;GHA;Afriyie Acquah;CM;70;74;4;false;false
2014;GHA;Majeed Waris;ST;70;74;4;false;false
2018;EGY;Ali Gabr;CB;70;74;4;false;false
2018;EGY;Sam Morsy;DM;70;74;4;false;false
2018;EGY;Kahraba;LW;70;74;4;false;false
2018;RUS;Fyodor Kudryashov;CB;70;74;4;false;false
2022;CRO;Ivica Grbić;GK;70;74;4;false;false
2022;SRB;Stefan Mitrović;CB;70;74;4;false;false
2002;DEN;Peter Madsen;ST;69;73;4;false;false
2006;ECU;Edwin Villafuerte;GK;69;73;4;false;false
2006;SUI;Blerim Džemaili;CM;69;73;4;false;false
2010;GRE;Pantelis Kapetanos;ST;69;73;4;false;false
2014;ALG;Liassine Cadamuro-Bentaïba;CB;69;73;4;false;false
2014;GHA;Mohammed Rabiu;DM;69;73;4;false;false
2014;GRE;Panagiotis Glykos;GK;69;73;4;false;false
2018;EGY;Marwan Mohsen;ST;69;73;4;false;false
1990;CMR;Victor N'Dip;RB;68;72;4;false;false
1990;COL;León Villa;DM;68;72;4;false;false
1994;BUL;Petar Mihtarski;ST;68;72;4;false;false
1994;NGA;Chidi Nwanu;CB;68;72;4;false;false
2002;DEN;Kasper Bøgelund;RB;68;72;4;false;false
2002;JPN;Mitsuo Ogasawara;AM;68;72;4;false;false
2002;KOR;Yoon Jong-hwan;AM;68;72;4;false;false
2002;KOR;Cha Du-ri;ST;68;72;4;false;false
2006;CIV;Gérard Gnanhouan;GK;68;72;4;false;false
2006;CZE;Antonín Kinský;GK;68;72;4;false;false
2010;ARG;Ariel Garcé;RB;68;72;4;false;false
2018;COL;José Fernando Cuadrado;GK;68;72;4;false;false
2018;RUS;Vladimir Granat;CB;68;72;4;false;false
2018;RUS;Aleksandr Yerokhin;CM;68;72;4;false;false
2022;CRC;Esteban Alvarado;GK;68;72;4;false;false
2022;CRO;Ivica Ivušić;GK;68;72;4;false;false
2022;ECU;Djorkaeff Reasco;ST;68;72;4;false;false
2022;ECU;Kevin Rodríguez;ST;68;72;4;false;false
2006;ECU;Damián Lanza;GK;67;71;4;false;false
1990;COL;Carlos Hoyos;CB;66;70;4;false;false
1994;ARG;Norberto Scoponi;GK;66;70;4;false;false
1994;ARG;Alejandro Mancuso;CM;66;70;4;false;false
1994;BUL;Velko Yotov;AM;66;70;4;false;false
1994;ROU;Ștefan Preda;GK;66;70;4;false;false
2002;CMR;Carlos Kameni;GK;66;70;4;false;false
2002;JPN;Daisuke Ichikawa;RB;66;70;4;false;false
2002;USA;Carlos Llamosa;CB;66;70;4;false;false
2010;CIV;Daniel Yeboah;GK;66;70;4;false;false
2018;MAR;Ahmed Reda Tagnaouti;GK;66;70;4;false;false
2022;CRC;Jewison Bennette;LW;66;70;4;false;false
1990;ROU;Gheorghe Liliac;GK;64;68;4;false;false
2002;SEN;Makhtar N'Diaye;CM;64;68;4;false;false
2022;CRC;Gerson Torres;RW;64;68;4;false;false
1998;ITA;Paolo Maldini;LB;92;95;3;true;true
2018;CRO;Luka Modrić;CM;92;95;3;true;true
2006;BRA;Ronaldo;ST;90;93;3;true;true
2006;BRA;Kaká;AM;89;92;3;false;true
2010;NED;Arjen Robben;RW;89;92;3;false;true
2006;ENG;Steven Gerrard;CM;88;91;3;false;true
2010;BRA;Kaká;AM;88;91;3;false;true
2018;ENG;Harry Kane;ST;87;90;3;false;false
1990;ITA;Paolo Maldini;LB;86;89;3;false;true
1990;ROU;Gheorghe Hagi;AM;86;89;3;false;true
2002;ESP;Raúl;ST;86;89;3;false;true
2006;ENG;David Beckham;RM;86;89;3;false;true
2018;FRA;Raphaël Varane;CB;86;89;3;false;false
1990;GER;Rudi Völler;ST;85;88;3;false;false
1998;ENG;Michael Owen;ST;85;88;3;false;true
1998;FRA;Fabien Barthez;GK;85;88;3;false;false
1998;NGA;Nwankwo Kanu;ST;85;88;3;false;true
1998;PAR;Carlos Gamarra;CB;85;88;3;false;true
2006;CZE;Pavel Nedvěd;AM;85;88;3;false;true
2006;GER;Miroslav Klose;ST;85;88;3;false;true
2010;BRA;Júlio César;GK;85;88;3;false;true
2010;BRA;Maicon;RB;85;88;3;false;false
1990;GER;Jürgen Kohler;CB;84;87;3;false;false
1994;COL;Faustino Asprilla;ST;84;87;3;false;false
1998;FRA;Bixente Lizarazu;LB;84;87;3;false;false
2006;ARG;Esteban Cambiasso;DM;84;87;3;false;false
2022;CRO;Ivan Perišić;LW;84;87;3;false;true
2022;MAR;Yassine Bounou;GK;84;87;3;false;false
2006;GER;Philipp Lahm;LB;83;86;3;false;false
2006;SWE;Henrik Larsson;ST;83;86;3;false;true
2010;BRA;Robinho;LW;83;86;3;false;false
2022;SEN;Idrissa Gueye;DM;83;86;3;false;false
1990;GER;Bodo Illgner;GK;82;85;3;false;false
1994;GER;Bodo Illgner;GK;82;85;3;false;false
1994;GER;Andreas Möller;AM;82;85;3;false;false
1998;NGA;Finidi George;RW;82;85;3;false;false
2002;BRA;Gilberto Silva;DM;82;85;3;false;false
2002;ENG;Paul Scholes;CM;82;85;3;false;false
2002;FRA;Bixente Lizarazu;LB;82;85;3;false;false
2002;JPN;Hidetoshi Nakata;AM;82;85;3;false;true
2002;KOR;Hong Myung-bo;CB;82;85;3;false;false
2006;GER;Bastian Schweinsteiger;LM;82;85;3;false;false
2010;BRA;Luís Fabiano;ST;82;85;3;false;false
2014;FRA;Raphaël Varane;CB;82;85;3;false;false
2018;ARG;Javier Mascherano;DM;82;85;3;false;false
2022;CRO;Andrej Kramarić;ST;82;85;3;false;false
1990;GER;Thomas Häßler;AM;81;84;3;false;false
2002;MEX;Rafael Márquez;CB;81;84;3;false;true
2006;SUI;Alexander Frei;ST;81;84;3;false;true
2006;UKR;Anatoliy Tymoshchuk;DM;81;84;3;false;false
2014;NED;Klaas-Jan Huntelaar;ST;81;84;3;false;false
2018;SWE;Victor Lindelöf;CB;81;84;3;false;true
1990;ARG;Oscar Ruggeri;CB;80;83;3;false;false
1990;BRA;Aldair;CB;80;83;3;false;false
1994;ARG;Sergio Goycochea;GK;80;83;3;false;false
1994;NED;Frank de Boer;CB;80;83;3;false;false
1994;NGA;Rashidi Yekini;ST;80;83;3;false;false
2002;MEX;Cuauhtémoc Blanco;AM;80;83;3;false;true
2002;USA;Landon Donovan;AM;80;83;3;false;false
2006;CIV;Yaya Touré;CM;80;83;3;false;false
2006;NED;Robin van Persie;ST;80;83;3;false;false
2014;GHA;Asamoah Gyan;ST;80;83;3;false;true
2014;NGA;Ahmed Musa;LW;80;83;3;false;false
2018;JPN;Keisuke Honda;AM;80;83;3;false;false
1990;ENG;Peter Beardsley;AM;79;82;3;false;false
1990;GER;Thomas Berthold;RB;79;82;3;false;false
1990;ITA;Pietro Vierchowod;CB;79;82;3;false;false
1990;ITA;Roberto Mancini;ST;79;82;3;false;false
1990;NED;Jan Wouters;DM;79;82;3;false;false
1994;GER;Thomas Helmer;CB;79;82;3;false;false
1994;NGA;Emmanuel Amunike;LW;79;82;3;false;false
2002;DEN;Thomas Gravesen;CM;79;82;3;false;false
2002;ENG;David Seaman;GK;79;82;3;false;false
2002;FRA;Emmanuel Petit;CM;79;82;3;false;false
2002;FRA;Youri Djorkaeff;AM;79;82;3;false;false
2002;POR;Sérgio Conceição;RM;79;82;3;false;false
2002;POR;Nuno Gomes;ST;79;82;3;false;false
2002;TUR;Emre Belözoğlu;CM;79;82;3;false;false
2010;CHI;Humberto Suazo;ST;79;82;3;false;false
2014;GHA;Michael Essien;DM;79;82;3;false;true
1990;ARG;Jorge Burruchaga;AM;78;81;3;false;false
1990;GER;Stefan Reuter;RB;78;81;3;false;false
1994;ROU;Dorinel Munteanu;CM;78;81;3;false;false
2002;ARG;Claudio López;ST;78;81;3;false;false
2002;ESP;Gaizka Mendieta;RM;78;81;3;false;false
2010;JPN;Yūto Nagatomo;LB;78;81;3;false;false
2014;ALG;Islam Slimani;ST;78;81;3;false;false
2014;CIV;Serge Aurier;RB;78;81;3;false;false
2014;NED;Dirk Kuyt;RM;78;81;3;false;false
2018;JPN;Yūto Nagatomo;LB;78;81;3;false;false
2018;URU;Rodrigo Bentancur;CM;78;81;3;false;false
2022;CRO;Dejan Lovren;CB;78;81;3;false;false
2022;CRO;Mario Pašalić;AM;78;81;3;false;false
2002;DEN;Martin Jørgensen;RM;77;80;3;false;false
2006;SWE;Mikael Nilsson;RB;77;80;3;false;false
2010;CIV;Arthur Boka;LB;77;80;3;false;false
2010;CIV;Cheick Tioté;DM;77;80;3;false;false
2014;GHA;Sulley Muntari;CM;77;80;3;false;false
2014;NED;Tim Krul;GK;77;80;3;false;false
2014;NGA;Joseph Yobo;CB;77;80;3;false;false
2018;JPN;Takashi Inui;LW;77;80;3;false;false
2018;SWE;Pontus Jansson;CB;77;80;3;false;false
2022;AUS;Aaron Mooy;CM;77;80;3;false;false
2022;CRO;Josip Juranović;RB;77;80;3;false;false
2022;CRO;Lovro Majer;CM;77;80;3;false;false
1990;ARG;Nery Pumpido;GK;76;79;3;false;false
1990;EGY;Hossam Hassan;ST;76;79;3;false;false
1990;NED;Erwin Koeman;LM;76;79;3;false;false
1990;ROU;Gabi Balint;AM;76;79;3;false;false
1994;NED;Peter van Vossen;ST;76;79;3;false;false
1994;NGA;Peter Rufai;GK;76;79;3;false;false
2002;ARG;Kily González;LM;76;79;3;false;false
2002;DEN;Stig Tøfting;DM;76;79;3;false;false
2002;FRA;Christophe Dugarry;ST;76;79;3;false;false
2002;MEX;Óscar Pérez;GK;76;79;3;false;false
2002;MEX;Gerardo Torrado;DM;76;79;3;false;false
2010;CHI;Gonzalo Jara;CB;76;79;3;false;false
2014;GHA;Christian Atsu;LW;76;79;3;false;false
2014;MEX;Miguel Layún;LB;76;79;3;false;false
2014;MEX;Paul Aguilar;RB;76;79;3;false;false
2014;NGA;Efe Ambrose;CB;76;79;3;false;false
2018;COL;Carlos Sánchez;DM;76;79;3;false;false
2018;JPN;Yuya Osako;ST;76;79;3;false;false
2018;KOR;Koo Ja-cheol;CM;76;79;3;false;false
2022;CRO;Mislav Oršić;LW;76;79;3;false;false
2022;SEN;Youssouf Sabaly;RB;76;79;3;false;false
2022;SRB;Strahinja Pavlović;CB;76;79;3;false;false
2002;IRL;Steve Finnan;RB;75;78;3;false;false
2002;IRL;Ian Harte;LB;75;78;3;false;false
2002;IRL;Richard Dunne;CB;75;78;3;false;false
2006;BRA;Fred Guedes;ST;75;78;3;false;false
2006;SUI;Marco Streller;ST;75;78;3;false;false
2010;GRE;Avraam Papadopoulos;CB;75;78;3;false;false
2018;JPN;Gen Shoji;CB;75;78;3;false;false
2022;CRO;Borna Barišić;LB;75;78;3;false;false
1990;ARG;José Basualdo;CM;74;77;3;false;false
1990;CMR;Cyrille Makanaky;AM;74;77;3;false;false
1990;COL;Bernardo Redín;AM;74;77;3;false;false
1990;EGY;Gamal Abdel-Hamid;AM;74;77;3;false;false
1990;EGY;Ahmed Shobair;GK;74;77;3;false;false
1990;EGY;Ibrahim Hassan;RB;74;77;3;false;false
1990;ITA;Andrea Carnevale;ST;74;77;3;false;false
1990;NED;Danny Blind;CB;74;77;3;false;false
1990;YUG;Predrag Spasić;CB;74;77;3;false;false
1990;YUG;Davor Jozić;CB;74;77;3;false;false
1990;YUG;Dragoljub Brnović;LM;74;77;3;false;false
1994;NED;Edwin van der Sar;GK;74;77;3;false;false
1998;ARG;Nelson Vivas;RB;74;77;3;false;false
2002;ENG;Danny Mills;RB;74;77;3;false;false
2002;IRL;Niall Quinn;ST;74;77;3;false;false
2002;MEX;Oswaldo Sánchez;GK;74;77;3;false;false
2006;CZE;Martin Jiránek;CB;74;77;3;false;false
2010;CHI;Pablo Contreras;CB;74;77;3;false;false
2010;CIV;Boubacar Barry;GK;74;77;3;false;false
2010;GER;Toni Kroos;CM;74;77;3;false;false
2010;JPN;Seigo Narazaki;GK;74;77;3;false;false
2010;KOR;Cha Du-ri;RB;74;77;3;false;false
2014;COL;Juan Fernando Quintero;AM;74;77;3;false;false
2018;COL;Abel Aguilar;CM;74;77;3;false;false
2018;EGY;Mahmoud Trézéguet;LW;74;77;3;false;false
2018;POR;Rúben Dias;CB;74;77;3;false;false
2018;URU;Cristian Rodríguez;LM;74;77;3;false;false
2022;SEN;Ismail Jakobs;LB;74;77;3;false;false
2002;MEX;Germán Villa;RB;73;76;3;false;false
2014;ALG;Hassan Yebda;DM;73;76;3;false;false
2014;ALG;Mehdi Lacen;DM;73;76;3;false;false
2014;ALG;Abdelmoumene Djabou;LW;73;76;3;false;false
2014;GHA;John Boye;CB;73;76;3;false;false
2014;MEX;Alfredo Talavera;GK;73;76;3;false;false
2018;COL;Óscar Murillo;CB;73;76;3;false;false
2018;EGY;Abdallah El Said;AM;73;76;3;false;false
2018;KOR;Hwang Hee-chan;ST;73;76;3;false;false
2018;RUS;Aleksei Miranchuk;AM;73;76;3;false;false
2022;AUS;Awer Mabil;LW;73;76;3;false;false
2022;KOR;Kwon Kyung-won;CB;73;76;3;false;false
2022;SEN;Pape Abou Cissé;CB;73;76;3;false;false
2022;SRB;Predrag Rajković;GK;73;76;3;false;false
1990;COL;Wílmer Cabrera;RB;72;75;3;false;false
1990;IRL;John Sheridan;CM;72;75;3;false;false
2002;CMR;Joseph-Désiré Job;ST;72;75;3;false;false
2002;ENG;Wes Brown;CB;72;75;3;false;false
2002;ENG;Darius Vassell;ST;72;75;3;false;false
2002;POR;Pedro Barbosa;CM;72;75;3;false;false
2006;CIV;Jean-Jacques Tizié;GK;72;75;3;false;false
2006;CIV;Romaric;CM;72;75;3;false;false
2010;CHI;Rodrigo Tello;LM;72;75;3;false;false
2010;CIV;Souleymane Bamba;CB;72;75;3;false;false
2010;GRE;Kostas Chalkias;GK;72;75;3;false;false
2014;CRC;Michael Umaña;CB;72;75;3;false;false
2014;GRE;Loukas Vyntra;CB;72;75;3;false;false
2014;NED;Paul Verhaegh;RB;72;75;3;false;false
2018;RUS;Ilya Kutepov;CB;72;75;3;false;false
2018;SUI;Mario Gavranović;ST;72;75;3;false;false
2018;URU;Guillermo Varela;RB;72;75;3;false;false
2022;SRB;Strahinja Eraković;RB;72;75;3;false;false
2010;CHI;Marco Estrada;DM;71;74;3;false;false
2010;GRE;Nikos Spyropoulos;LB;71;74;3;false;false
2010;GRE;Sotiris Ninis;AM;71;74;3;false;false
2014;ALG;Mehdi Mostefa;DM;71;74;3;false;false
2014;BEL;Divock Origi;ST;71;74;3;false;false
2014;MEX;Isaác Brizuela;RM;71;74;3;false;false
2014;NGA;Azubuike Egwuekwe;CB;71;74;3;false;false
2018;EGY;Omar Gaber;RB;71;74;3;false;false
2018;EGY;Mohamed Abdel Shafy;LB;71;74;3;false;false
2018;KOR;Jung Woo-young;DM;71;74;3;false;false
2018;MAR;Ayoub El Kaabi;ST;71;74;3;false;false
2018;RUS;Igor Smolnikov;RB;71;74;3;false;false
2018;SWE;Isaac Kiese Thelin;ST;71;74;3;false;false
2018;URU;Martín Silva;GK;71;74;3;false;false
2022;CRC;Juan Pablo Vargas;CB;71;74;3;false;false
2022;CRC;Rónald Matarrita;LB;71;74;3;false;false
2022;SEN;Seny Dieng;GK;71;74;3;false;false
2022;SRB;Filip Mladenović;LB;71;74;3;false;false
1990;CMR;Eugène Ekéké;ST;70;73;3;false;false
1990;COL;Gildardo Gómez;CB;70;73;3;false;false
1990;GER;Günter Hermann;LM;70;73;3;false;false
1990;NED;Joop Hiele;GK;70;73;3;false;false
1990;NED;Graeme Rutjes;CB;70;73;3;false;false
1994;ARG;Hernán Díaz;RB;70;73;3;false;false
1994;BUL;Petar Aleksandrov;ST;70;73;3;false;false
1994;SWE;Stefan Rehn;AM;70;73;3;false;false
2002;JPN;Ryuzo Morioka;CB;70;73;3;false;false
2002;JPN;Kazuyuki Toda;DM;70;73;3;false;false
2002;POR;Nélson Pereira;GK;70;73;3;false;false
2002;POR;Nuno Frechaut;RB;70;73;3;false;false
2006;ECU;Luis Saritama;CM;70;73;3;false;false
2006;SUI;Xavier Margairaz;CM;70;73;3;false;false
2010;POR;Beto;GK;70;73;3;false;false
2014;MEX;Miguel Ángel Ponce;LB;70;73;3;false;false
2014;NGA;Ejike Uzoenyi;LM;70;73;3;false;false
2014;NGA;Uche Nwofor;ST;70;73;3;false;false
2018;EGY;Shikabala;AM;70;73;3;false;false
2018;RUS;Yury Gazinsky;CM;70;73;3;false;false
2018;URU;Jonathan Urretaviscaya;RW;70;73;3;false;false
2022;AUS;Mitchell Duke;ST;70;73;3;false;false
2022;ECU;Moisés Ramírez;GK;70;73;3;false;false
2014;NGA;Austin Ejide;GK;69;72;3;false;false
2014;NGA;Michael Uchebo;ST;69;72;3;false;false
2018;EGY;Sherif Ekramy;GK;69;72;3;false;false
2018;RUS;Andrey Lunyov;GK;69;72;3;false;false
1990;CMR;Bertin Ebwellé;CB;68;71;3;false;false
1990;CMR;Jean-Claude Pagal;DM;68;71;3;false;false
1994;MEX;José Luis Salgado;CB;68;71;3;false;false
2002;KOR;Hyun Young-min;CB;68;71;3;false;false
2002;SEN;Sylvain N'Diaye;CM;68;71;3;false;false
2002;SEN;Pape Thiaw;ST;68;71;3;false;false
2002;USA;David Regis;LB;68;71;3;false;false
2010;KOR;Lee Seung-yeoul;ST;68;71;3;false;false
2014;GHA;Rashid Sumaila;CB;68;71;3;false;false
2018;RUS;Andrei Semyonov;CB;68;71;3;false;false
2018;RUS;Anton Miranchuk;AM;68;71;3;false;false
2022;AUS;Andrew Redmayne;GK;68;71;3;false;false
2022;KOR;Song Min-kyu;ST;68;71;3;false;false
2014;NGA;Chigozie Agbim;GK;67;70;3;false;false
2002;SEN;Omar Diallo;GK;66;69;3;false;false
2002;CMR;Pius N'Diefi;ST;65;68;3;false;false
1990;CMR;Roger Feutmba;CM;64;67;3;false;false
2002;CMR;Nicolas Alnoudji;LM;64;67;3;false;false
2002;CMR;Daniel N'Gom Kome;CM;64;67;3;false;false
2014;GER;Manuel Neuer;GK;97;99;2;true;true
1998;NED;Dennis Bergkamp;ST;91;93;2;true;true
2018;BRA;Neymar;LW;91;93;2;true;true
1994;ITA;Roberto Baggio;AM;90;92;2;true;true
2002;BRA;Rivaldo;AM;90;92;2;true;true
2010;NED;Wesley Sneijder;AM;90;92;2;true;true
2018;EGY;Mohamed Salah;RW;89;91;2;false;true
2018;FRA;N'Golo Kanté;DM;89;91;2;false;false
2018;FRA;Paul Pogba;CM;88;90;2;false;false
1994;ITA;Paolo Maldini;LB;87;89;2;false;true
1998;NGA;Jay-Jay Okocha;AM;87;89;2;false;true
1998;PAR;José Luis Chilavert;GK;87;89;2;false;true
2010;ESP;Sergio Ramos;RB;87;89;2;false;true
1990;ENG;Gary Lineker;ST;86;88;2;false;true
1998;ARG;Juan Sebastián Verón;CM;86;88;2;false;true
1998;DEN;Brian Laudrup;LW;86;88;2;false;true
1998;FRA;Lilian Thuram;RB;86;88;2;false;false
1998;ITA;Roberto Baggio;AM;86;88;2;false;true
2002;BRA;Marcos;GK;86;88;2;false;false
2002;ENG;David Beckham;RM;86;88;2;false;true
2002;ITA;Paolo Maldini;LB;86;88;2;false;true
2006;BRA;Dida;GK;86;88;2;false;false
2006;CIV;Didier Drogba;ST;86;88;2;false;true
2006;CZE;Petr Čech;GK;86;88;2;false;true
2006;POR;Ricardo Carvalho;CB;86;88;2;false;false
2010;ARG;Javier Mascherano;DM;86;88;2;false;true
2010;CIV;Didier Drogba;ST;86;88;2;false;true
2014;BRA;Dani Alves;RB;86;88;2;false;true
2014;CHI;Alexis Sánchez;RW;86;88;2;false;true
1994;NED;Frank Rijkaard;DM;85;87;2;false;true
2002;ENG;Michael Owen;ST;85;87;2;false;true
2006;BRA;Cafu;RB;85;87;2;false;false
2006;ENG;Ashley Cole;LB;85;87;2;false;false
2006;GER;Jens Lehmann;GK;85;87;2;false;false
2006;SWE;Zlatan Ibrahimović;ST;85;87;2;false;true
2010;ARG;Diego Milito;ST;85;87;2;false;false
2022;SEN;Édouard Mendy;GK;85;87;2;false;true
1990;ITA;Salvatore Schillaci;ST;84;86;2;false;false
1994;GER;Jürgen Kohler;CB;84;86;2;false;false
1998;FRA;Laurent Blanc;CB;84;86;2;false;false
2006;POR;Maniche;CM;84;86;2;false;false
2010;ARG;Ángel Di María;RW;84;86;2;false;false
2010;BRA;Lúcio;CB;84;86;2;false;false
2010;BRA;Dani Alves;RB;84;86;2;false;false
2010;URU;Luis Suárez;ST;84;86;2;false;true
2014;CHI;Claudio Bravo;GK;84;86;2;false;false
2014;GER;Sami Khedira;DM;84;86;2;false;false
2018;ARG;Nicolás Otamendi;CB;84;86;2;false;false
2018;ESP;Thiago;CM;84;86;2;false;false
1994;ROU;Gheorghe Popescu;DM;83;85;2;false;true
1998;BRA;Dunga;DM;83;85;2;false;false
1998;FRA;Didier Deschamps;DM;83;85;2;false;false
1998;FRA;Emmanuel Petit;DM;83;85;2;false;false
2002;DEN;Jon Dahl Tomasson;ST;83;85;2;false;true
2006;ARG;Gabriel Heinze;LB;83;85;2;false;false
2006;CZE;Tomáš Rosický;AM;83;85;2;false;false
2010;GER;Miroslav Klose;ST;83;85;2;false;true
2018;BRA;Ederson;GK;83;85;2;false;false
2018;BRA;Marquinhos;CB;83;85;2;false;false
2018;SWE;Emil Forsberg;LW;83;85;2;false;true
1990;GER;Guido Buchwald;CB;82;84;2;false;false
1990;IRL;Paul McGrath;CB;82;84;2;false;true
1998;ARG;Hernán Crespo;ST;82;84;2;false;false
1998;BRA;Aldair;CB;82;84;2;false;false
1998;FRA;Patrick Vieira;DM;82;84;2;false;false
2006;ARG;Maxi Rodríguez;RM;82;84;2;false;false
2010;ESP;Sergio Busquets;DM;82;84;2;false;false
2010;POR;Deco;AM;82;84;2;false;true
2014;MEX;Guillermo Ochoa;GK;82;84;2;false;false
1994;GER;Guido Buchwald;CB;81;83;2;false;false
1994;GER;Thomas Häßler;AM;81;83;2;false;false
2006;AUS;Tim Cahill;CM;81;83;2;false;false
2010;ARG;Gabriel Heinze;CB;81;83;2;false;false
2010;NED;Klaas-Jan Huntelaar;ST;81;83;2;false;false
2010;URU;Edinson Cavani;ST;81;83;2;false;false
2014;BEL;Romelu Lukaku;ST;81;83;2;false;false
2014;MEX;Rafael Márquez;CB;81;83;2;false;true
2014;MEX;Héctor Herrera;CM;81;83;2;false;false
2014;MEX;Giovani dos Santos;AM;81;83;2;false;false
2014;NED;Daley Blind;LB;81;83;2;false;false
2018;SWE;Andreas Granqvist;CB;81;83;2;false;false
2022;JPN;Kaoru Mitoma;LW;81;83;2;false;false
1990;ENG;Stuart Pearce;LB;80;82;2;false;false
1990;GER;Pierre Littbarski;RW;80;82;2;false;false
1990;ITA;Giuseppe Giannini;AM;80;82;2;false;false
1990;TCH;Ľubomír Moravčík;LM;80;82;2;false;false
1994;ARG;Oscar Ruggeri;CB;80;82;2;false;false
1994;BUL;Emil Kostadinov;ST;80;82;2;false;false
1994;GER;Andreas Köpke;GK;80;82;2;false;false
1994;ITA;Roberto Donadoni;LM;80;82;2;false;false
1994;MEX;Claudio Suárez;CB;80;82;2;false;false
1998;ARG;José Chamot;CB;80;82;2;false;false
1998;NGA;Peter Rufai;GK;80;82;2;false;false
1998;YUG;Vladimir Jugović;DM;80;82;2;false;false
2002;DEN;Ebbe Sand;ST;80;82;2;false;false
2002;ENG;Ashley Cole;LB;80;82;2;false;false
2002;IRL;Robbie Keane;ST;80;82;2;false;true
2002;USA;Claudio Reyna;CM;80;82;2;false;false
2006;CZE;Karel Poborský;RM;80;82;2;false;false
2006;GER;Christoph Metzelder;CB;80;82;2;false;false
2010;BRA;Juan;CB;80;82;2;false;false
2010;GER;Sami Khedira;DM;80;82;2;false;false
2010;JPN;Keisuke Honda;AM;80;82;2;false;false
2010;MEX;Giovani dos Santos;AM;80;82;2;false;false
2010;URU;Fernando Muslera;GK;80;82;2;false;false
2014;CHI;Eduardo Vargas;ST;80;82;2;false;false
2014;FRA;Antoine Griezmann;LW;80;82;2;false;false
2014;NED;Ron Vlaar;CB;80;82;2;false;false
2018;ARG;Nicolás Tagliafico;LB;80;82;2;false;false
2018;ESP;Nacho;CB;80;82;2;false;false
2018;FRA;Blaise Matuidi;CM;80;82;2;false;false
2018;JPN;Shinji Kagawa;AM;80;82;2;false;false
1994;GER;Karl-Heinz Riedle;ST;79;81;2;false;false
2002;KOR;Park Ji-sung;CM;79;81;2;false;false
2010;BRA;Michel Bastos;LB;79;81;2;false;false
2010;BRA;Ramires;CM;79;81;2;false;false
2014;MEX;Héctor Moreno;CB;79;81;2;false;false
2014;MEX;Oribe Peralta;ST;79;81;2;false;false
2018;JPN;Maya Yoshida;CB;79;81;2;false;false
2018;SWE;Robin Olsen;GK;79;81;2;false;false
1990;CMR;Thomas N'Kono;GK;78;80;2;false;true
1990;CMR;François Omam-Biyik;ST;78;80;2;false;false
1990;GER;Olaf Thon;CM;78;80;2;false;false
1990;ITA;Nicola Berti;CM;78;80;2;false;false
1994;BRA;Ronaldo;ST;78;80;2;false;true
1994;ROU;Ioan Lupescu;CM;78;80;2;false;false
1994;SWE;Patrik Andersson;CB;78;80;2;false;false
1994;USA;Tab Ramos;AM;78;80;2;false;false
1994;USA;Eric Wynalda;ST;78;80;2;false;false
1998;PAR;Celso Ayala;CB;78;80;2;false;false
2002;DEN;Thomas Helveg;RB;78;80;2;false;false
2002;ENG;Nicky Butt;CM;78;80;2;false;false
2002;FRA;Frank Leboeuf;CB;78;80;2;false;false
2002;POR;Vítor Baía;GK;78;80;2;false;false
2002;USA;Brian McBride;ST;78;80;2;false;false
2006;ARG;Nicolás Burdisso;CB;78;80;2;false;false
2006;BRA;Cicinho;RB;78;80;2;false;false
2006;SWE;Erik Edman;LB;78;80;2;false;false
2006;SWE;Tobias Linderoth;DM;78;80;2;false;false
